name,name_ar,updated_en,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
Chewing Gum Sugar Strawberry,اكزلتي لبان بدون سكر نكهة فراولة,Chewing Gum Sugar Strawberry,ITM-16410,,Snacks & Confectionery,pcs,,0.00,0.00,0,5,yes
Chewing Gum _,علكة أورى _جيم,Chewing Gum _,ITM-06263,,Snacks & Confectionery,pcs,,0.00,0.00,0,5,yes
Chewing GumCake 709,فرشلي شيرة البانكيك الاصليه709مل,Chewing GumCake 709ml,ITM-03637,,Snacks & Confectionery,L,,0.00,0.00,0,5,yes
Chick Peas,Chick Peas,Chick Peas,1100,,Canned & Preserved,pcs,,0.00,3.50,0,5,yes
Chicken,نقانق دجاج مطبوخة دوكس,Chicken,ITM-05826,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken,نقانق دجاج دوكس,Chicken,395,,Meat & Poultry,pcs,,0.00,5.00,0,5,yes
Chicken,اندومي نكهة دجاج خاصة,Chicken,ITM-09965,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken,اكواب اندومي دجاج,Chicken,ITM-10170,,Meat & Poultry,pcs,,0.00,3.00,0,5,yes
Chicken,اندومي كاري دجاج,Chicken,ITM-14825,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken,مشتريات دجاج اليوم,Chicken,ITM-18018,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken,اندومي نكهة دجاج,Chicken,309,,Meat & Poultry,pcs,,0.00,1.50,0,5,yes
Chicken,اندومي نكهة كاري دجاج,Chicken,310,,Meat & Poultry,pcs,,0.00,1.50,0,5,yes
Chicken,اندومي كاسات نكهة الدجاج,Chicken,314,,Meat & Poultry,pcs,,0.00,3.00,0,5,yes
Chicken,نقانق دجاج سوبر,Chicken,388,,Meat & Poultry,pcs,,0.00,5.00,0,5,yes
Chicken,سيقان دجاج مجمدة كواليكو,Chicken,541,,Frozen Foods,pcs,,0.00,12.00,0,5,yes
Chicken 1,ساديا صدور دجاج ومجمدة 1كجم,Chicken 1kg,ITM-07373,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1,برغر دجاج بالتوابل العربية ساديا1ك,Chicken 1kg,ITM-08756,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 10,رويال برجر الدجاج 10قطع,Burger Chicken 10,ITM-15104,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 100,سيقان دجاج مبرد اليوم100ج,Chicken 100g,ITM-01057,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 100,فيلية صدور دجاج اليوم الفاخرة 100ج,Chicken 100g,ITM-08615,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 100,بران مزيج توابل دجاج 100جم,Chicken 100g,ITM-15767,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 100,دجاج دوكس 100ج,Chicken 100g,378,,Meat & Poultry,g,,0.00,14.00,0,5,yes
Chicken 100,دجاج دويكس 100ج,Chicken 100g,392,,Meat & Poultry,g,,0.00,105.00,0,5,yes
Chicken 100,دجاج سوبر بريم كرتون 100ج,Chicken 100g,394,,Meat & Poultry,g,,0.00,118.00,0,5,yes
Chicken 1000,دجاج اليوم فاخر مبرد 1000ج,Chicken 1000g,ITM-01117,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1000,دجاج اليوم 1000ج,Chicken 1000g,ITM-01515,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1000,دجاج مجمد جالينا1000ج,Chicken 1000g,ITM-02353,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1000,سيارا صدور دجاج مجمد 1000جم,Chicken 1000g,ITM-06269,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1000,اجنحة دجاج اليوم مبرد 1000غ,Chicken 1000,ITM-06383,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 1000,اليوم دجاج فاخر مجمد 1000جم,Chicken 1000g,ITM-09957,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1000,ساديا دجاج مجمد 1000جم,Chicken 1000g,ITM-11088,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1000,ساديا برجر دجاج 1000جم,Burger Chicken 1000g,ITM-12118,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1000,دجاج اليوم مبرد 1000ج,Chicken 1000g,ITM-12296,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1000,ي و ن ف دجاج مجمد برازيلي 1000جم,Chicken 1000g,ITM-12667,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1000,ساديا جامبو برجر دجاج 1000جم,Burger Chicken 1000g,ITM-16152,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1000,دجاج اليوم قطع منوعة 1000جم,Chicken 1000g,ITM-16446,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1000,دجاج سوبريم 1000ج,Chicken 1000g,383,,Meat & Poultry,kg,,0.00,13.00,0,5,yes
Chicken 1000,دجاج مجمد 1000ج النور,Chicken 1000g,498,,Frozen Foods,kg,,0.00,13.00,0,5,yes
Chicken 1000,دجاج كواليكو 1000غ,Chicken 1000,539,,Meat & Poultry,pcs,,0.00,12.00,0,5,yes
Chicken 1000,دجاج مجمد اصيلة 1000ج,Chicken 1000g,542,,Frozen Foods,kg,,0.00,11.00,0,5,yes
Chicken 1000 10,دجاج دوكس مجمد1000ج 10حبات,Chicken 1000g,268,,Frozen Foods,kg,,0.00,125.00,0,5,yes
Chicken 1000*2,دجاج اليوم 1000*2,Chicken 1000*2 1000x2,ITM-15786,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 1100,دجاج اليوم مبرد 1100ج,Chicken 1100g,ITM-00159,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1100,دجاج اليوم 1100ج,Chicken 1100g,ITM-01118,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1100,ساديا دجاج مجمد 1100جم,Chicken 1100g,ITM-11089,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1100,دجاج اليوم مبرد 1100جم,Chicken 1100g,ITM-13892,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1100,اليوم دجاج فاخر مجمد 1100جم,Chicken 1100g,ITM-16883,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1100,دجاج دوكس 1100جم,Chicken 1100g,379,,Meat & Poultry,kg,,0.00,14.00,0,5,yes
Chicken 1100,سوبر بريم دجاج 1100ج,Chicken 1100g,384,,Meat & Poultry,kg,,0.00,13.00,0,5,yes
Chicken 1100,دجاج صن بيرد 1100ج,Chicken 1100g,387,,Meat & Poultry,kg,,0.00,13.00,0,5,yes
Chicken 1100,دجاج كواليكو مجمد 1100 غ,Chicken 1100,540,,Frozen Foods,pcs,,0.00,13.00,0,5,yes
Chicken 1100 10,دجاج ديوكس 1100جم 10حبات,Chicken Dove 1100g,393,,Meat & Poultry,kg,,0.00,96.00,0,5,yes
Chicken 1100 10,دجاج سابكو 1100جم 10حبات,Chicken 1100g,396,,Meat & Poultry,kg,,0.00,104.00,0,5,yes
Chicken 12,برجر بالدجاج بالبقسماط رويال 12حبة,Burger Chicken 12Pcs 12pcs,ITM-06104,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 12*60,شوربة الدجاج بالشعيرية 12*60 ج,Chicken 12*60 12x60g,ITM-16477,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 120,اندومي نكهة دجاج 120ج,Chicken 120g,ITM-02330,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 120,ليوم دجاج طازج 120جرام,Chicken 120g,ITM-03621,,Fresh Produce,pcs,,0.00,0.00,0,5,yes
Chicken 1200,دجاج اليوم 1200ج,Chicken 1200g,ITM-00550,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1200,دجاج اليوم طازج 1200ج,Chicken 1200g,ITM-01017,,Fresh Produce,kg,,0.00,0.00,0,5,yes
Chicken 1200,رويال برجرالدجاج 1200جرام,Burger Chicken 1200g,ITM-10761,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 1200,فنتوري برجر الدجاج 1200جرام,Burger Chicken 1200g,ITM-11022,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 1200,ساديا دجاج مجمد 1200جم,Chicken 1200g,ITM-11090,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1200,اليوم دجاج فاخر مجمد 1200جم,Chicken 1200g,ITM-16884,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 1200,دجاج دوكس 1200ج,Chicken 1200g,380,,Meat & Poultry,kg,,0.00,15.00,0,5,yes
Chicken 1200,دجاج سوبريم 1200ج,Chicken 1200g,385,,Meat & Poultry,kg,,0.00,13.00,0,5,yes
Chicken 1200,دجاج داليا 1200ج,Chicken 1200g,390,,Meat & Poultry,kg,,0.00,13.00,0,5,yes
Chicken 130,فرشلي مقانق فينا الدجاج 130جم,Chicken 130g,ITM-06491,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 130,مقانق فينا الدجاج اميريكان جاردن 130ج,Chicken 130g,ITM-08889,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 1300,دجاج اليوم طازج 1300ج,Chicken 1300g,ITM-01018,,Fresh Produce,kg,,0.00,0.00,0,5,yes
Chicken 1300,دجاج اليوم مبرد 1300جم,Chicken 1300g,ITM-06137,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1300,دجاج دوكس 1300ج,Chicken 1300g,ITM-06455,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 1300,ساديا دجاج مجمد 1300جرام,Chicken 1300g,ITM-11091,,Frozen Foods,pcs,,0.00,0.00,0,5,yes
Chicken 1300,دجاج سوبر بريم 1300ج,Chicken 1300g,386,,Meat & Poultry,kg,,0.00,13.00,0,5,yes
Chicken 1400,دجاج اليوم طازج 1400ج,Chicken 1400g,ITM-01022,,Fresh Produce,kg,,0.00,0.00,0,5,yes
Chicken 1400,دجاج امريكان مجمد 1400ج,Chicken 1400g,ITM-07968,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 15,بطاطيس افخاذ دجاج بنكة الخضر 15ج,Chicken 15g,ITM-04886,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 15 750,السنبلة برجر الدجاج 15قطعة 750جم,Burger Chicken 15 750g,ITM-15467,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 16,نكهات دجاج 16ج,Chicken 16g,ITM-04683,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 18,مرامي ذرة نكهة دجاج 18جم,Corn Chicken 18g,ITM-16030,,Canned & Preserved,g,,0.00,0.00,0,5,yes
Chicken 2,ساديا صدور دجاج ومجمدة 2كجم,Chicken 2kg,ITM-07317,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 2* 900,اليوم دجاج فاخر مبرد2* 900جم,Chicken 2* 2 900g,ITM-15479,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 2*600,اليم دجاج مبرد 2*600جم,Chicken 2*600 2x600g,ITM-04732,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 2*700,دجاج اليوم مبرد 2*700ج,Chicken 2*700 2x700g,ITM-08580,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 2*800,اليوم دجاج فاخر 2*800غم,Chicken 2*800 2x800g,ITM-05489,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 2.5,بروديكس انصاف صدور دجاج مجمدة 2.5ك,Chicken 2.5kg,ITM-05976,,Frozen Foods,kg,,0.00,0.00,0,5,yes
Chicken 20 1000,رويال برجر الدجاج 20قطعة 1000جم,Burger Chicken 20 1000g,ITM-05897,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 200,لانشوان دجاج حدائق كاليفورنيا200جرام,Chicken Hadaeq 200g,ITM-04789,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 200,فتوري برجرالدجاج 200ج,Burger Chicken 200g,ITM-12395,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 224,ساديا برجر الدجاج توابل224غم,Burger Chicken 224g,ITM-14582,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 224,ساديا برجر الدجاج 224غم,Burger Chicken 224g,ITM-14583,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 24,السنبلة برجر الدجاج 24قطعه,Burger Chicken 24,ITM-16796,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 24,السنبلة برجر الدجاج بالبقسماط24قطعه,Burger Chicken 24,ITM-16871,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 240,السنبلة سمبوسك الدجاج 240جم,Chicken 240g,ITM-14455,,Bread & Bakery,g,,0.00,0.00,0,5,yes
Chicken 250,رويال ناجت الدجاج المرحة 250جرام,Chicken 250g,ITM-10602,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 250,رويال ناجت الدجاج 250جرام,Chicken 250g,ITM-10755,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 2500,سيارا انصاف صدور دجاج 2500جم,Chicken 2500g,ITM-05325,,Meat & Poultry,kg,,0.00,0.00,0,5,yes
Chicken 2500,ساديا شاورما دجاج 2500جرام,Chicken 2500g,ITM-11083,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 2500,ساديا اصناف صدور دجاج بلاعظم 2500جرام,Chicken 2500g,ITM-11084,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 270,ناجت الدجاج الحار 270ج,Chicken Hot 270g,ITM-01252,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 270,دو ناجتس دجاج 270ج,Chicken 270g,ITM-02970,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 270,ناجت دجاج 270ج,Chicken 270g,ITM-07189,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 270,ساديـــــــــا قطع دجاج 270جم,Chicken 270g,ITM-12923,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 270,ساديا ناجتس دجاج مقرمش 270غم,Chicken 270g,ITM-14317,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 270,ساديا ناجتس دجاج 270جم,Chicken 270g,ITM-16659,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 280,ساديا اصابع دجاج مقرمشة 280ج,Chicken 280g,ITM-04190,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 3,فرانك الدجاج 3حبات,Chicken 3,ITM-02351,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 300,قونص دجاج اليوم 300ج,Chicken 300g,ITM-01285,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 300,قلوب دجاج اليوم 300ج,Chicken 300g,ITM-03856,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 300,قطع الدجاج الذهبية 300ج,Chicken 300g,ITM-05119,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 300,ساديا دونتس دجاج 300ج,Chicken 300g,ITM-12216,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 300,فتوري ناجت الدجاج 300ج,Chicken 300g,ITM-12396,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 300,بوب كورن دجاج ساديا 300جم,Corn Chicken 300g,ITM-15121,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 336,ساديا برغردجاج 336جرام,Chicken 336g,ITM-11035,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 34,ماجي شوربة خلطة الدجاج بالكبزرة34ج,Chicken 34g,ITM-10019,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 340,لانشوان دجاج حدائق كاليفورنيا340جرام,Chicken Hadaeq 340g,ITM-04596,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 340,نقانق دجاج مدخنة ساديا 340 جرام,Chicken 340g,ITM-16964,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 340,برديكس نقانق دجاج مجمد 340جم,Chicken 340g,ITM-17467,,Frozen Foods,g,,0.00,0.00,0,5,yes
Chicken 340 .,مقانق دجاج ساديا حار ومتبل 340ج.,Chicken Hot . 340g,ITM-07947,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 340 .,نقانق دجاج ساديا 340جم.,Chicken . 340g,ITM-13846,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 350,رويال فيلية الدجاج 350جرام,Chicken 350g,ITM-10614,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 350,نقانق دجاج طازجة 350ج,Chicken 350g,ITM-11779,,Fresh Produce,g,,0.00,0.00,0,5,yes
Chicken 350,رويال كفتة الدجاج 350جرام,Chicken 350g,ITM-13982,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 350 ..,نقانق دجاج طازجة 350ج..,Chicken .. 350g,ITM-04416,,Fresh Produce,g,,0.00,0.00,0,5,yes
Chicken 360,اليوم برجر دجاج اليوم الفاخر 360ج,Burger Chicken 360g,ITM-08504,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 360,برجر دجاج اليوم الحار الفاخر 360ج,Burger Chicken Hot 360g,ITM-12281,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 375,نقانق دجاج ساديامدخن 375جم,Chicken 375g,ITM-00404,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 4,برجر الدجاج بالبقسماط السنبلة 4قطع,Burger Chicken 4,ITM-05607,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 4,رويال برجر دجاج با لبقسماط 4قطع,Burger Chicken 4,ITM-10702,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 4,كباب دجاج اليوم الفاخر 4قطع,Chicken 4,ITM-12460,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 4 224,برجر الدجاج السنبلة 4قطع224غم,Burger Chicken 4 224g,ITM-14677,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 40,ماجي خلطة شاورما الدجاج 40ج,Chicken 40g,ITM-09964,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,كبدة دجاج اليوم 400ج,Chicken 400g,ITM-00544,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,اليوم سقان دجاج بدون جلد400جم,Chicken 400g,ITM-00749,,Personal Care,g,,0.00,0.00,0,5,yes
Chicken 400,ناجتس دجاج ميني ساديا 400جم,Chicken 400g,ITM-01099,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,اليوم فاهيتا الدجاج بالتوابل المكسيكية 400ج,Chicken 400g,ITM-02469,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,اليوم شاورما الدجاج 400جرام,Chicken 400g,ITM-02471,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 400,اليوم ترياكي الدجاج بالتوابل اليابانية 400جرام,Chicken 400g,ITM-02473,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 400,فنتوري برجر الدجاج 400جرام,Burger Chicken 400g,ITM-11033,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 400,دوكس نقانق دجاج 400 جم,Chicken 400g,ITM-12345,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,السنبلة ناجت دجاج الحار 400جم,Chicken Hot 400g,ITM-14473,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,السنبلة بوب كورن الدجاج 400جم,Corn Chicken 400g,ITM-14476,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,سيقان دجاج اليوم400غ,Chicken 400,ITM-14625,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 400,ناجتس دجاج ساديا 400جم,Chicken 400g,ITM-15122,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,السنبلة ناجت الدجاج المرح 400جم,Chicken 400g,ITM-16862,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,افخاذ دجاج اليوم 400جم,Chicken 400g,ITM-17575,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 400,نقانق دجاج دوكس 400ج,Chicken 400g,389,,Meat & Poultry,g,,0.00,6.00,0,5,yes
Chicken 448,السنبلة برجر الدجاج بقسماط 448جم,Burger Chicken 448g,ITM-14474,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 448,السنبلة برجر الدجاج 448جم,Burger Chicken 448g,ITM-14570,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 450,وطنية مبرد افخاذ دجاج 450جرام,Chicken 450g,ITM-03605,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 450,الوطن قونص دجاج 450جرام,Chicken 450g,ITM-04753,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 450,ساديا قوانص دجاج 450جرام,Chicken 450g,ITM-05403,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 450,برديكس قوانص دجاج 450ج,Chicken 450g,ITM-05691,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 450,شرائح صدور دجاج 450ج,Chicken 450g,ITM-07061,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 450,ساديا انصاف صدور دجاج 450جرام,Chicken 450g,ITM-09778,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 450,برديكس اصناف صدور دجاج بدون عضم مجمد450ج,Chicken 450g,ITM-12215,,Frozen Foods,g,,0.00,0.00,0,5,yes
Chicken 450,سادياء اكباد دجاج 450ج,Chicken 450g,ITM-12284,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 450,الوطن صدور فيلية دجاج 450جم,Chicken 450g,ITM-15905,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 450,السنبلة فيلية الدجاج بالبقسماط 450جم,Chicken 450g,ITM-16811,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 450,صدور دجاج اليوم 450ج,Chicken 450g,ITM-18003,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 47,ماجي شوربة الدجاج مع الذرة 47ج,Chicken Corn 47g,ITM-02295,,Canned & Preserved,g,,0.00,0.00,0,5,yes
Chicken 500,سيقان دجاج اليوم طازج 500ج,Chicken 500g,ITM-01023,,Fresh Produce,g,,0.00,0.00,0,5,yes
Chicken 500,فيلة صدور دجاج اليوم 500ج,Chicken 500g,ITM-01500,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,افخاذ دجاج اليوم متبلة 500ج,Chicken 500g,ITM-03854,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,أفخاذ دجاج اليوم مبرد500ج,Chicken 500g,ITM-03977,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,اجنحة دجاج اليوم 500ج,Chicken 500g,ITM-06572,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,سيقان دجاج اليوم بتتبيلة 500ج,Chicken 500g,ITM-07694,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,برغر دجاج بالتوابل العربية ساديا500ج,Chicken 500g,ITM-08757,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,السنبلة ناجت دجاج 500جم,Chicken 500g,ITM-11819,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,فتوري ناجت الدجاج 500ج,Chicken 500g,ITM-12398,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 500,اليوم فيلية افخاذ الدجاج الفاخر 500جم,Chicken 500g,ITM-13645,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 60,شوربة الدجاج بالشعيرية 60 ج,Chicken 60g,ITM-02294,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 60,ماجي شوربة الدجاج بالشعيرية 60جم,Chicken 60g,ITM-06275,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 60,ماجي شوربة الدجاج بالشعيرية 60ج,Chicken 60g,ITM-09963,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 60 12+3,ماجي شوربة الدجاج بالشعيرية 60جم 12+3مجانا,Chicken 12+3 60g,ITM-13499,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 600,فقية دجاج مجمد 600جم,Chicken 600g,ITM-02382,,Frozen Foods,g,,0.00,0.00,0,5,yes
Chicken 600,افخاذ دجاج اليومكاملة بتتبيلة الشواء 600غ,Chicken 600,ITM-16535,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 600,اجنحة دجاج اليوم بتتبيلة الشواء 600غ,Chicken 600,ITM-16633,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 600,اجنحة دجاج اليوم بتتبيلة الكاري 600غ,Chicken 600,ITM-16634,,Meat & Poultry,pcs,,0.00,0.00,0,5,yes
Chicken 600,افخاذدجاج اليوم كاملة بنكهة الكاري 600ج,Chicken 600g,ITM-16635,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 650,دجاج دوكس 650ج,Chicken 650g,ITM-06065,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 66,شوربة الدجاج مع أحرف المعكرونة 66جم,Chicken 66g,ITM-08964,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 66,شوربة الدجاج مع أحرف المعكرونة 66ج,Chicken 66g,ITM-12996,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 672,برجر دجاج ساديا 672جم,Burger Chicken 672g,ITM-02855,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 684,برجر الدجاج حراق 684جم,Burger Chicken 684g,ITM-08270,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 70,اندومي نكهة دجاج 70جم,Chicken 70g,ITM-01988,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 70,اندومي نكهة دجاج 70جم,Chicken 70g,ITM-17108,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 700,دجاج اليوم بتتبيلة الكاري الحارة 700ج,Chicken Hot 700g,ITM-08743,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 700,دجاج ساديا 700ج,Chicken 700g,ITM-08775,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 700,اليوم دجاجة متبلة 700جم,Chicken 700g,ITM-12211,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 700,اليوم دجاجة كاملة متبلة 700جم,Chicken 700g,ITM-16518,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 75,اندومي دجاج خاصة 75جم,Chicken 75g,ITM-03142,,Meat & Poultry,g,,0.00,1.50,0,5,yes
Chicken 75,شعيرية تويا نكهة دجاج 75ج,Chicken 75g,ITM-07442,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 75,اندومي كاري دجاج 75جم,Chicken 75g,ITM-14826,,Meat & Poultry,g,,0.00,1.50,0,5,yes
Chicken 75,اندومي نكهة كاري دجاج 75 ج,Chicken 75g,ITM-17781,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 750,فيلية دجاج ساديا 750ج,Chicken 750g,ITM-00122,,Meat & Poultry,g,,0.00,0.00,0,5,yes
Chicken 750,ناجت الدجاج رويال750ج,Chicken 750g,ITM-03421,,Meat & Poultry,g,,0.00,0.00,0,5,yes
